Serial,Gender,Ethinicity,Minority,Deprived
1115280,Female or unknown,White,no,yes
1115289,Female or unknown,White,no,yes
1115298,Female or unknown,White,no,yes
1116062,Female or unknown,Mixed,yes,no
1117777,Female or unknown,White,no,no
1118076,Female or unknown,Asian,yes,yes
1119242,Female or unknown,White,no,yes
1119247,Female or unknown,White,no,yes
1119527,Female or unknown,Mixed,yes,no
1119849,Female or unknown,White,no,yes
1096715,Female or unknown,White,no,no
1096728,Female or unknown,White,no,no
1096740,Female or unknown,White,no,no
1096752,Female or unknown,White,no,no
1096801,Female or unknown,White,no,no
1096833,Female or unknown,White,no,no
1096854,Female or unknown,White,no,no
1096883,Female or unknown,White,no,no
1096902,Female or unknown,Other or unknown,yes,no
1096916,Female or unknown,White,no,no
1096924,Female or unknown,White,no,no
1097015,Female or unknown,White,no,no
1097024,Female or unknown,White,no,no
1097046,Female or unknown,White,no,no
1097086,Female or unknown,White,no,no
1097094,Female or unknown,White,no,no
1097101,Female or unknown,White,no,no
1100707,Female or unknown,Asian,yes,no
1100718,Female or unknown,Asian,yes,no
1100722,Female or unknown,Asian,yes,no
1100734,Female or unknown,Asian,yes,no
1106967,Female or unknown,White,no,no
1108069,Female or unknown,White,no,yes
1108081,Female or unknown,White,no,yes
1108090,Female or unknown,White,no,yes
1108092,Female or unknown,White,no,yes
1112932,Female or unknown,White,no,yes
1102314,Female or unknown,White,no,no
1102350,Female or unknown,White,no,no
1102400,Female or unknown,White,no,no
1102403,Female or unknown,White,no,no
1102409,Female or unknown,White,no,no
1102419,Female or unknown,White,no,no
1102424,Female or unknown,White,no,no
1102433,Female or unknown,White,no,no
1102436,Female or unknown,White,no,no
1102442,Female or unknown,White,no,no
1102476,Female or unknown,White,no,no
1102490,Female or unknown,White,no,no
1102514,Female or unknown,White,no,no
1102525,Female or unknown,White,no,no
1102575,Female or unknown,White,no,no
1102595,Female or unknown,White,no,no
1102612,Female or unknown,White,no,no
1108603,Female or unknown,White,no,yes
1108675,Female or unknown,White,no,yes
1108704,Female or unknown,White,no,yes
1108715,Female or unknown,White,no,yes
1108723,Female or unknown,White,no,yes
1113233,Female or unknown,Black,yes,yes
1113727,Female or unknown,White,no,no
1113729,Female or unknown,White,no,no
1108118,Female or unknown,White,no,no
1108124,Female or unknown,White,no,no
1108300,Female or unknown,White,no,no
1108313,Female or unknown,White,no,no
1108319,Female or unknown,White,no,no
1108392,Female or unknown,White,no,no
1108443,Female or unknown,White,no,no
1108449,Female or unknown,White,no,no
1108463,Female or unknown,White,no,no
1108475,Female or unknown,White,no,no
1108540,Female or unknown,White,no,no
1108583,Female or unknown,White,no,no
1109428,Female or unknown,Mixed,yes,no
1109433,Female or unknown,Black,yes,no
1110826,Female or unknown,White,no,yes
1110840,Female or unknown,White,no,yes
1110843,Female or unknown,White,no,yes
1110850,Female or unknown,White,no,yes
1110852,Female or unknown,White,no,yes
1110909,Female or unknown,White,no,yes
1110911,Female or unknown,White,no,yes
1110917,Female or unknown,White,no,yes
1110926,Female or unknown,White,no,yes
1110968,Female or unknown,White,no,yes
1110974,Female or unknown,White,no,yes
1110976,Female or unknown,White,no,yes
1110987,Female or unknown,White,no,yes
1093371,Female or unknown,White,no,no
1093372,Female or unknown,White,no,no
1093423,Female or unknown,White,no,no
1093445,Female or unknown,White,no,no
1093451,Female or unknown,White,no,no
1093458,Female or unknown,White,no,no
1093483,Female or unknown,White,no,no
1093496,Female or unknown,White,no,no
1093534,Female or unknown,White,no,no
1093563,Female or unknown,White,no,no
1093582,Female or unknown,White,no,no
1093586,Female or unknown,White,no,no
1093626,Female or unknown,White,no,no
1093649,Female or unknown,White,no,no
1093743,Female or unknown,White,no,no
1097522,Female or unknown,White,no,yes
1097527,Female or unknown,White,no,yes
1113215,Female or unknown,White,no,yes
1101202,Female or unknown,White,no,no
1101229,Female or unknown,White,no,no
1101273,Female or unknown,White,no,no
1101276,Female or unknown,White,no,no
1101282,Female or unknown,White,no,no
1101349,Female or unknown,White,no,no
1101373,Female or unknown,White,no,no
1101374,Female or unknown,White,no,no
1101398,Female or unknown,White,no,no
1101402,Female or unknown,White,no,no
1101403,Female or unknown,White,no,no
1101408,Female or unknown,White,no,no
1101409,Female or unknown,White,no,no
1101441,Female or unknown,White,no,no
1101447,Female or unknown,White,no,no
1101477,Female or unknown,White,no,no
1108197,Female or unknown,White,no,yes
1108210,Female or unknown,White,no,yes
1108233,Female or unknown,White,no,yes
1108234,Female or unknown,White,no,yes
1110225,Female or unknown,White,no,no
1110231,Female or unknown,White,no,no
1112970,Female or unknown,White,no,yes
1105057,Female or unknown,White,no,no
1105108,Female or unknown,White,no,no
1105114,Female or unknown,White,no,no
1105123,Female or unknown,White,no,no
1105133,Female or unknown,White,no,no
1105152,Female or unknown,White,no,no
1105153,Female or unknown,White,no,no
1105191,Female or unknown,White,no,no
1105213,Female or unknown,White,no,no
1105214,Female or unknown,Other or unknown,yes,no
1105236,Female or unknown,White,no,no
1105258,Female or unknown,White,no,no
1105262,Female or unknown,White,no,no
1105283,Female or unknown,White,no,no
1105300,Female or unknown,White,no,no
1105334,Female or unknown,White,no,no
1109080,Female or unknown,White,no,yes
1109090,Female or unknown,White,no,yes
1109096,Female or unknown,White,no,yes
1109104,Female or unknown,White,no,yes
1109118,Female or unknown,White,no,yes
1109123,Female or unknown,White,no,yes
1109135,Female or unknown,White,no,yes
1109138,Female or unknown,White,no,yes
1109140,Female or unknown,White,no,yes
1109169,Female or unknown,White,no,yes
1109172,Female or unknown,White,no,yes
1109180,Female or unknown,White,no,yes
1109187,Female or unknown,White,no,yes
1109208,Female or unknown,White,no,yes
1109327,Female or unknown,Asian,yes,no
1117996,Female or unknown,White,no,yes
1092389,Female or unknown,White,no,no
1092486,Female or unknown,White,no,no
1092512,Female or unknown,White,no,no
1092516,Female or unknown,White,no,no
1092523,Female or unknown,White,no,no
1092556,Female or unknown,White,no,no
1092586,Female or unknown,White,no,no
1092607,Female or unknown,White,no,no
1092616,Female or unknown,White,no,no
1096466,Female or unknown,Mixed,yes,no
1096481,Female or unknown,Mixed,yes,no
1097399,Female or unknown,White,no,yes
1097401,Female or unknown,White,no,yes
1097415,Female or unknown,White,no,yes
1100644,Female or unknown,Asian,yes,yes
1100649,Female or unknown,White,no,yes
1109075,Female or unknown,White,no,no
1110865,Female or unknown,Asian,yes,no
1111329,Female or unknown,White,no,yes
1089817,Female or unknown,White,no,no
1089824,Female or unknown,White,no,no
1089839,Female or unknown,White,no,no
1089842,Female or unknown,White,no,no
1089874,Female or unknown,White,no,no
1089950,Female or unknown,White,no,no
1090032,Female or unknown,White,no,no
1090073,Female or unknown,White,no,no
1090083,Female or unknown,White,no,no
1090094,Female or unknown,White,no,no
1093803,Female or unknown,White,no,yes
1093820,Female or unknown,White,no,yes
1098175,Female or unknown,Mixed,yes,yes
1107734,Female or unknown,White,no,no
1107747,Female or unknown,White,no,no
1107765,Female or unknown,White,no,no
1107818,Female or unknown,White,no,no
1107833,Female or unknown,White,no,no
1107857,Female or unknown,White,no,no
1107861,Female or unknown,White,no,no
1107902,Female or unknown,White,no,no
1107903,Female or unknown,White,no,no
1107920,Female or unknown,White,no,no
1107925,Female or unknown,White,no,no
1107933,Female or unknown,White,no,no
1107940,Female or unknown,White,no,no
1107950,Female or unknown,White,no,no
1107953,Female or unknown,White,no,no
1107961,Female or unknown,White,no,no
1108032,Female or unknown,White,no,no
1109445,Female or unknown,White,no,yes
1109471,Female or unknown,White,no,yes
1109480,Female or unknown,Other or unknown,yes,yes
1109524,Female or unknown,White,no,yes
1113191,Female or unknown,Asian,yes,no
1114073,Female or unknown,White,no,no
1114075,Female or unknown,White,no,no
1100775,Female or unknown,White,no,no
1100777,Female or unknown,White,no,no
1100825,Female or unknown,White,no,no
1100838,Female or unknown,White,no,no
1100871,Female or unknown,White,no,no
1100884,Female or unknown,White,no,no
1100892,Female or unknown,White,no,no
1100901,Female or unknown,White,no,no
1100907,Female or unknown,White,no,no
1100925,Female or unknown,White,no,no
1100941,Female or unknown,White,no,no
1100959,Female or unknown,White,no,no
1100975,Female or unknown,White,no,no
1100977,Female or unknown,White,no,no
1100978,Female or unknown,White,no,no
1100979,Female or unknown,White,no,no
1100981,Female or unknown,White,no,no
1100987,Female or unknown,White,no,no
1101005,Female or unknown,White,no,no
1101059,Female or unknown,White,no,no
1101062,Female or unknown,White,no,no
1101078,Female or unknown,White,no,no
1102218,Female or unknown,White,no,no
1102230,Female or unknown,Asian,yes,no
1102678,Female or unknown,White,no,no
1102690,Female or unknown,White,no,no
1102691,Female or unknown,White,no,no
1102694,Female or unknown,White,no,no
1106397,Female or unknown,White,no,yes
1106427,Female or unknown,White,no,yes
1109077,Female or unknown,Asian,yes,yes
1111681,Female or unknown,White,no,no
1111685,Female or unknown,White,no,no
1111744,Female or unknown,White,no,no
1111748,Female or unknown,White,no,no
1111777,Female or unknown,White,no,no
1111880,Female or unknown,White,no,no
1111898,Female or unknown,White,no,no
1112004,Female or unknown,White,no,no
1112014,Female or unknown,White,no,no
1112028,Female or unknown,White,no,no
1112051,Female or unknown,White,no,no
1112090,Female or unknown,White,no,no
1115323,Female or unknown,Black,yes,no
1119796,Female or unknown,Black,yes,no
1083662,Female or unknown,Mixed,yes,no
1083677,Female or unknown,Asian,yes,no
1084475,Female or unknown,White,no,no
1084476,Female or unknown,White,no,no
1084482,Female or unknown,White,no,no
1084485,Female or unknown,White,no,no
1084487,Female or unknown,White,no,no
1084500,Female or unknown,White,no,no
1084521,Female or unknown,White,no,no
1084542,Female or unknown,White,no,no
1084548,Female or unknown,White,no,no
1084601,Female or unknown,White,no,no
1084610,Female or unknown,White,no,no
1084649,Female or unknown,White,no,no
1084706,Female or unknown,White,no,no
1084709,Female or unknown,White,no,no
1084744,Female or unknown,White,no,no
1084789,Female or unknown,White,no,no
1084795,Female or unknown,White,no,no
1084800,Female or unknown,White,no,no
1096022,Female or unknown,White,no,yes
1096026,Female or unknown,White,no,yes
1099369,Female or unknown,Mixed,yes,no
1099664,Female or unknown,White,no,no
1099686,Female or unknown,White,no,no
1099762,Female or unknown,White,no,no
1099782,Female or unknown,White,no,no
1099801,Female or unknown,White,no,no
1099812,Female or unknown,White,no,no
1099836,Female or unknown,White,no,no
1099894,Female or unknown,White,no,no
1099913,Female or unknown,White,no,no
1100038,Female or unknown,White,no,no
1100060,Female or unknown,White,no,no
1103923,Female or unknown,White,no,no
1109626,Female or unknown,White,no,yes
1109650,Female or unknown,White,no,yes
1110179,Female or unknown,Asian,yes,no
1110180,Female or unknown,Asian,yes,no
1110181,Female or unknown,Other or unknown,yes,no
1111530,Female or unknown,White,no,no
1113247,Female or unknown,Mixed,yes,yes
1086017,Female or unknown,Mixed,yes,no
1091314,Female or unknown,White,no,yes
1091328,Female or unknown,White,no,yes
1091347,Female or unknown,White,no,yes
1091372,Female or unknown,White,no,yes
1091430,Female or unknown,White,no,no
1091434,Female or unknown,White,no,no
1091446,Female or unknown,White,no,no
1091473,Female or unknown,White,no,no
1091492,Female or unknown,White,no,no
1091493,Female or unknown,White,no,no
1091508,Female or unknown,White,no,no
1091523,Female or unknown,White,no,no
1091561,Female or unknown,White,no,no
1091570,Female or unknown,White,no,no
1091617,Female or unknown,White,no,no
1091628,Female or unknown,White,no,no
1091692,Female or unknown,White,no,no
1091703,Female or unknown,White,no,no
1098899,Female or unknown,Other or unknown,yes,no
1091781,Female or unknown,White,no,no
1091805,Female or unknown,White,no,no
1091807,Female or unknown,White,no,no
1091809,Female or unknown,White,no,no
1091879,Female or unknown,White,no,no
1091925,Female or unknown,White,no,no
1091929,Female or unknown,White,no,no
1091937,Female or unknown,White,no,no
1094316,Female or unknown,White,no,yes
1094324,Female or unknown,White,no,yes
1094339,Female or unknown,White,no,yes
1094378,Female or unknown,White,no,yes
1094393,Female or unknown,White,no,yes
1094445,Female or unknown,White,no,yes
1040591,Female or unknown,White,no,no
1059478,Female or unknown,White,no,no
1059506,Female or unknown,White,no,no
1059522,Female or unknown,White,no,no
1059555,Female or unknown,White,no,no
1059591,Female or unknown,White,no,no
1059605,Female or unknown,White,no,no
1059611,Female or unknown,White,no,no
1059624,Female or unknown,White,no,no
1059644,Female or unknown,White,no,no
1059690,Female or unknown,White,no,no
1059742,Female or unknown,White,no,no
1059750,Female or unknown,White,no,no
1059769,Female or unknown,White,no,no
1059770,Female or unknown,White,no,no
1059774,Female or unknown,White,no,no
1079498,Female or unknown,White,no,yes
1079510,Female or unknown,White,no,yes
1079519,Female or unknown,White,no,yes
1091157,Female or unknown,White,no,yes
1006018,Female or unknown,White,no,no
1006056,Female or unknown,White,no,no
1006067,Female or unknown,White,no,no
1006076,Female or unknown,White,no,no
1006083,Female or unknown,White,no,no
1006088,Female or unknown,White,no,no
1006115,Female or unknown,White,no,no
1006119,Female or unknown,White,no,no
1006125,Female or unknown,White,no,no
1006133,Female or unknown,White,no,no
1006151,Female or unknown,White,no,no
1006181,Female or unknown,White,no,no
1006190,Female or unknown,White,no,no
1006247,Female or unknown,White,no,no
1006281,Female or unknown,White,no,no
1006293,Female or unknown,White,no,no
1006294,Female or unknown,White,no,no
1006306,Female or unknown,White,no,no
1008213,Female or unknown,Mixed,yes,no
1018566,Female or unknown,White,no,yes
1018572,Female or unknown,White,no,yes
1018574,Female or unknown,White,no,yes
1018600,Female or unknown,White,no,yes
1016178,Female or unknown,Black,yes,no
1020231,Female or unknown,White,no,no
1020286,Female or unknown,White,no,no
1020292,Female or unknown,White,no,no
1020302,Female or unknown,Other or unknown,yes,no
1020333,Female or unknown,White,no,no
1020372,Female or unknown,White,no,no
1020392,Female or unknown,White,no,no
1020395,Female or unknown,White,no,no
1020411,Female or unknown,White,no,no
1020470,Female or unknown,White,no,no
1020494,Female or unknown,White,no,no
1043638,Female or unknown,White,no,yes
1052995,Female or unknown,White,no,no
1053000,Female or unknown,White,no,no
1053003,Female or unknown,White,no,no
1053018,Female or unknown,White,no,no
1053027,Female or unknown,White,no,no
1053037,Female or unknown,White,no,no
1053043,Female or unknown,White,no,no
1053086,Female or unknown,White,no,no
1053095,Female or unknown,White,no,no
1053165,Female or unknown,White,no,no
1062670,Female or unknown,Asian,yes,yes
1068423,Female or unknown,White,no,yes
1068490,Female or unknown,White,no,yes
1068491,Female or unknown,White,no,yes
1068513,Female or unknown,White,no,yes
1068531,Female or unknown,White,no,yes
1090169,Female or unknown,White,no,yes
1090179,Female or unknown,White,no,yes
1000304,Female or unknown,White,no,no
1000315,Female or unknown,White,no,no
1000319,Female or unknown,White,no,no
1000329,Female or unknown,Other or unknown,yes,no
1035932,Female or unknown,White,no,no
1038191,Female or unknown,White,no,no
1038197,Female or unknown,White,no,no
1038253,Female or unknown,White,no,no
1038279,Female or unknown,White,no,no
1038298,Female or unknown,White,no,no
1038311,Female or unknown,White,no,no
1038329,Female or unknown,White,no,no
1038374,Female or unknown,White,no,no
1038390,Female or unknown,White,no,no
1038448,Female or unknown,White,no,no
1038462,Female or unknown,White,no,no
1038471,Female or unknown,White,no,no
1046037,Female or unknown,White,no,yes
1046086,Female or unknown,White,no,yes
1059023,Female or unknown,White,no,no
1059030,Female or unknown,White,no,no
1067235,Female or unknown,White,no,yes
1067241,Female or unknown,Other or unknown,yes,yes
1067249,Female or unknown,White,no,yes
1059828,Female or unknown,White,no,no
1059836,Female or unknown,White,no,no
1059864,Female or unknown,White,no,no
1059881,Female or unknown,White,no,no
1059882,Female or unknown,White,no,no
1059894,Female or unknown,White,no,no
1059920,Female or unknown,White,no,no
1059937,Female or unknown,White,no,no
1059952,Female or unknown,White,no,no
1059983,Female or unknown,White,no,no
1060029,Female or unknown,White,no,no
1060039,Female or unknown,White,no,no
1060138,Female or unknown,White,no,no
1076473,Female or unknown,White,no,yes
1076483,Female or unknown,White,no,yes
1076488,Female or unknown,White,no,yes
1076498,Female or unknown,White,no,yes
1076501,Female or unknown,White,no,yes
1076535,Female or unknown,White,no,yes
1076540,Female or unknown,White,no,yes
1041229,Female or unknown,Black,yes,yes
1051771,Female or unknown,White,no,no
1051781,Female or unknown,White,no,no
1051792,Female or unknown,White,no,no
1051858,Female or unknown,White,no,no
1051922,Female or unknown,White,no,no
1064003,Female or unknown,White,no,yes
1064028,Female or unknown,White,no,yes
1064032,Female or unknown,White,no,yes
1064068,Female or unknown,White,no,yes
1064072,Female or unknown,White,no,yes
1077995,Female or unknown,White,no,no
1082257,Female or unknown,Other or unknown,yes,yes
1036951,Female or unknown,Asian,yes,no
1036954,Female or unknown,Black,yes,no
1065727,Female or unknown,White,no,yes
1067851,Female or unknown,Black,yes,yes
1067882,Female or unknown,Mixed,yes,yes
1067885,Female or unknown,Other or unknown,yes,yes
1067890,Female or unknown,Other or unknown,yes,yes
1067918,Female or unknown,Other or unknown,yes,yes
1067928,Female or unknown,Black,yes,yes
1067929,Female or unknown,Mixed,yes,yes
1067945,Female or unknown,Asian,yes,yes
1067946,Female or unknown,Mixed,yes,yes
1067972,Female or unknown,Black,yes,yes
